"","zipcode","Population"
"1","00601",17113
"2","00602",37751
"3","00603",47081
"4","00606",6392
"5","00610",26686
"6","00612",59369
"7","00616",10022
"8","00617",23750
"9","00622",6741
"10","00623",41746
"11","00624",21936
"12","00627",31598
"13","00631",1499
"14","00637",22383
"15","00638",16412
"16","00641",26712
"17","00646",37095
"18","00647",5809
"19","00650",14534
"20","00652",3565
"21","00653",10484
"22","00656",18485
"23","00659",39950
"24","00660",15943
"25","00662",39700
"26","00664",14693
"27","00667",23186
"28","00669",24803
"29","00670",8364
"30","00674",38971
"31","00676",36299
"32","00677",14093
"33","00678",25624
"34","00680",45190
"35","00682",31735
"36","00683",29487
"37","00685",37058
"38","00687",30962
"39","00688",12139
"40","00690",5722
"41","00692",35135
"42","00693",53360
"43","00694",64
"44","00698",35317
"45","00703",26097
"46","00704",8108
"47","00705",22662
"48","00707",10721
"49","00714",17739
"50","00715",2818
"51","00716",27513
"52","00717",16086
"53","00718",25430
"54","00719",28556
"55","00720",20758
"56","00723",16984
"57","00725",80537
"58","00727",52743
"59","00728",39083
"60","00729",51015
"61","00730",30175
"62","00731",12657
"63","00735",12159
"64","00736",46085
"65","00738",29196
"66","00739",36734
"67","00740",1915
"68","00741",4074
"69","00745",50435
"70","00751",20677
"71","00754",36893
"72","00757",21757
"73","00765",8523
"74","00766",22687
"75","00767",33499
"76","00769",38812
"77","00771",36906
"78","00772",19529
"79","00773",18224
"80","00775",1299
"81","00777",39609
"82","00778",46707
"83","00780",11016
"84","00782",17670
"85","00783",32769
"86","00784",39823
"87","00786",360
"88","00791",48433
"89","00794",28434
"90","00795",43873
"91","00901",6617
"92","00906",191
"93","00907",15151
"94","00909",4698
"95","00911",7089
"96","00912",5660
"97","00913",7890
"98","00915",24888
"99","00917",18196
"100","00918",15759
"101","00920",16281
"102","00921",31801
"103","00923",23851
"104","00924",48141
"105","00925",6640
"106","00926",93330
"107","00927",13626
"108","00934",109
"109","00936",773
"110","00949",72943
"111","00950",0
"112","00951",0
"113","00952",7598
"114","00953",71174
"115","00956",63264
"116","00957",38198
"117","00959",46441
"118","00960",2205
"119","00961",29743
"120","00962",19082
"121","00965",6709
"122","00966",15254
"123","00968",3448
"124","00969",41941
"125","00971",25925
"126","00976",58640
"127","00979",16130
"128","00982",14346
"129","00983",33947
"130","00985",31682
"131","00987",54241
"132","01001",17312
"133","01002",30014
